"Wavelength, Å","Element","Spectrum","Rel. Intensity","Est. Visual Brightness","Lower Config","Lower Term+J","Lower Level","Upper Config","Upper Term+J","Upper Level"
"3600.0261","V","I","180","-","3d3.4s2","2D25/2","14548.816","3d4.(3D).4p","v 2P*3/2","42318.466"
"3600.056","S","II","3.7","-","3s2.3p2.(1D).3d","2D5/2","144009.42","3s2.3p2.(1D<2>).4f","2[2]*5/2","171778.83"
"3600.1694","Ne","I","45","-","2s2.2p5.(2P*<1/2>).3s","2[1/2]*1","135888.7173","2s2.2p5.(2P*<1/2>).4p","2[3/2]1","163657.2726"
"3600.18","Ni","V","1.3","-","3d6","5D1","1871.5","3d6","3P20","29640"
"3600.2217","Ar","II","2","-","3s2.3p4.(1D).4p","2P*3/2","172213.8798","3s2.3p4.(1D).4d","2D3/2","199982.0244"
"3600.24","Ac","II","20","-","6d.7s","a 1D2","9087.52","6d.7p","y 3P*1","36855.483"
"3600.35","Mn","II","4.2","-","3d5.(4F).4s","a 5F1","43311.324","3d5.(4P).4p","z 3D*1","71078.501"
"3600.366","Cl","II","1.7","-","3s2.3p3.(2D*).4p","3F2","147055.61","3s2.3p3.(2D*).4d","3D*2","174822.64"
"3600.38","Dy","II","195","-","","","","","",""
"3600.438","Cu","II","1.9","-","3d9.(2D<5/2>).5p","2[5/2]*2","120876.0141","3d9.(2D<3/2>).6d","2[5/2]2","148642.489"
"3600.605","Rb","II","2000","-","4p5.(2P*<1/2>).5p","2[3/2]2","164968.007","4p5.(2P*<1/2>).5d","2[5/2]*3","192733.21"
"3600.6077","Th","II","2.4","-","5f.6d.(1H*).7s","*9/2","22642.10563","5f2.6d+5f.6d.7p","7/2","42751.3291"
"3600.62","Cm","I","10000","-","","","","","",""
"3600.642","Rb","II","5.8","-","4p5.(2P*<3/2>).5p","2[5/2]3","156895.486","4p5.(2P*<3/2>).5d","2[7/2]*4","184660.39"
"3600.67","Cr","I","7.4","-","3d5.(4G).4s","a 5G4","20523.629","3d4.(3H).4s.4p.(3P*)","y 3H*4","48288.3556"
"3600.71","Br","III","405","-","","","","","",""
"3600.731","Y","II","1500","-","4d.5s","a 3D3","1449.752","4d.5p","z 3D*3","29213.958"
"3600.7635","Cu","II","3.2","-","3d9.(2D<3/2>).4d","2[3/2]2","118163.2663","3d9.(2D<5/2>).5f","2[3/2]*2","145927.231"
"3600.8181","Th","II","65","-","6d3","4P1/2","14349.3888","6d2.(1D).7p","*3/2","42112.9415"
"3600.88","Cr","I","3.7","-","3d5.(2D3).4s","b 3D3","31008.9708","3d5.(4P).5p","t 3D*2","58771.89"
"3600.944","Fe","III","1.6","-","3d5.(4F).4s","3F3","90484.18","3d5.(4P).4p","5P*3","118246.74"
"3600.95","Ho","II","25","-","","","","","",""
"3600.96","Gd","II","345","-","","","","","",""
"3601.03425","Th","II","225","-","6d3","2H11/2","17727.24685","6d2.(3F).7p","2G*9/2","45489.1258"
